Season,Week,Day,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayDescription,PlayStart
2022,Week 4,THU,09/29,Dolphins,Bengals,1ST QUARTER,1,CIN,1,1,0,Kickoff,"J.Sanders kicks 65 yards from MIA 35 to end zone, Touchback.",Kickoff from MIA 35
2022,Week 4,THU,09/29,Dolphins,Bengals,1ST QUARTER,1,CIN,1,2,0,1 Yard Run,(15:00) (Shotgun) J.Mixon right guard to CIN 26 for 1 yard (C.Wilkins; X.Howard).,1st & 10 at CIN 25
2022,Week 4,THU,09/29,Dolphins,Bengals,1ST QUARTER,1,CIN,1,3,0,8 Yard Pass,(14:28) (Shotgun) J.Burrow pass short right to J.Chase to CIN 34 for 8 yards (K.Crossen).,2nd & 9 at CIN 26
2022,Week 4,THU,09/29,Dolphins,Bengals,1ST QUARTER,1,CIN,1,4,0,19 Yard Pass,(13:46) (Shotgun) J.Burrow pass short left to H.Hurst to MIA 47 for 19 yards (E.Roberts; J.Holland).,3rd & 1 at CIN 34
2022,Week 4,THU,09/29,Dolphins,Bengals,1ST QUARTER,1,CIN,1,5,0,10 Yard Pass,(13:04) (Shotgun) J.Burrow pass short left to T.Higgins to MIA 37 for 10 yards (J.Baker).,1st & 10 at MIA 47
2022,Week 4,THU,09/29,Dolphins,Bengals,1ST QUARTER,1,CIN,1,6,0,2 Yard Run,"(12:33) J.Mixon left guard to MIA 35 for 2 yards (Br.Jones, T.Flowers).",1st & 10 at MIA 37
2022,Week 4,THU,09/29,Dolphins,Bengals,1ST QUARTER,1,CIN,1,7,0,21 Yard Pass,"(11:54) J.Burrow pass short right to H.Hurst to MIA 29 for 6 yards (K.Kohou).
PENALTY on MIA-K.Crossen, Unnecessary Roughness, 15 yards, enforced at MIA 29.",2nd & 8 at MIA 35
2022,Week 4,THU,09/29,Dolphins,Bengals,1ST QUARTER,1,CIN,1,8,0,5 Yard Penalty,"(11:28) (Shotgun) PENALTY on MIA-Z.Sieler, Neutral Zone Infraction, 5 yards, enforced at MIA 14 - No Play.",1st & 10 at MIA 14
2022,Week 4,THU,09/29,Dolphins,Bengals,1ST QUARTER,1,CIN,1,9,0,Pass Incomplete,(11:15) (Shotgun) J.Burrow pass incomplete short right to T.Boyd.,1st & 5 at MIA 9
2022,Week 4,THU,09/29,Dolphins,Bengals,1ST QUARTER,1,CIN,1,10,0,4 Yard Run,(11:12) (Shotgun) J.Mixon right tackle to MIA 5 for 4 yards (E.Rowe).,2nd & 5 at MIA 9
2022,Week 4,THU,09/29,Dolphins,Bengals,1ST QUARTER,1,CIN,1,11,0,Touchdown Bengals,"(10:26) J.Mixon up the middle for 5 yards, TOUCHDOWN.",3rd & 1 at MIA 5
2022,Week 4,THU,09/29,Dolphins,Bengals,1ST QUARTER,1,CIN,1,12,1,Extra Point Good,"E.McPherson extra point is GOOD, Center-C.Adomitis, Holder-K.Huber.",XP attempt from MIA 15
2022,Week 4,THU,09/29,Dolphins,Bengals,1ST QUARTER,2,MIA,1,1,0,Kickoff,"E.McPherson kicks 65 yards from CIN 35 to end zone, Touchback.",Kickoff from CIN 35
2022,Week 4,THU,09/29,Dolphins,Bengals,1ST QUARTER,2,MIA,1,2,0,7 Yard Run,"(10:19) R.Mostert left tackle to MIA 32 for 7 yards (G.Pratt, B.Hill).",1st & 10 at MIA 25
2022,Week 4,THU,09/29,Dolphins,Bengals,1ST QUARTER,2,MIA,1,3,0,26 Yard Pass,(9:38) T.Tagovailoa pass short middle to T.Hill to CIN 42 for 26 yards (J.Bates).,2nd & 3 at MIA 32
2022,Week 4,THU,09/29,Dolphins,Bengals,1ST QUARTER,2,MIA,1,4,0,20 Yard Pass,(8:59) (Shotgun) T.Tagovailoa pass short middle to J.Waddle to CIN 22 for 20 yards (J.Bates).,1st & 10 at CIN 42
2022,Week 4,THU,09/29,Dolphins,Bengals,1ST QUARTER,2,MIA,1,5,0,Pass Incomplete,(8:18) (Shotgun) T.Tagovailoa pass incomplete short right to M.Gesicki (B.Hill).,1st & 10 at CIN 22
2022,Week 4,THU,09/29,Dolphins,Bengals,1ST QUARTER,2,MIA,1,6,0,11 Yard Pass,(8:15) (Shotgun) T.Tagovailoa pass short left to T.Sherfield pushed ob at CIN 11 for 11 yards (V.Bell).,2nd & 10 at CIN 22
2022,Week 4,THU,09/29,Dolphins,Bengals,1ST QUARTER,2,MIA,1,7,0,-1 Yard Run,(7:38) (Shotgun) T.Hill right end to CIN 12 for -1 yards (S.Hubbard).,1st & 10 at CIN 11
2022,Week 4,THU,09/29,Dolphins,Bengals,1ST QUARTER,2,MIA,1,8,0,7 Yard Pass,(6:55) (Shotgun) T.Tagovailoa pass short middle to C.Edmonds to CIN 5 for 7 yards (G.Pratt).,2nd & 11 at CIN 12
