Season,Week,Day,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayDescription,PlayStart
2022,Preseason Week 2,THU,08/18,Bears,Seahawks,1ST QUARTER,1,CHI,1,1,0,Kickoff,"J.Myers kicks 65 yards from SEA 35 to CHI 0. V.Jones to CHI 28 for 28 yards (M.Blair; V.Jones). FUMBLES (M.Blair), and recovers at CHI 31.",Kickoff from SEA 35
2022,Preseason Week 2,THU,08/18,Bears,Seahawks,1ST QUARTER,1,CHI,1,2,0,12 Yard Pass,"(14:52) (Shotgun) J.Fields pass short right to C.Kmet to CHI 43 for 12 yards (J.Jones, A.Woods).",1st & 10 at CHI 31
2022,Preseason Week 2,THU,08/18,Bears,Seahawks,1ST QUARTER,1,CHI,1,3,0,Pass Incomplete,(14:15) J.Fields pass incomplete short right to C.Kmet.,1st & 10 at CHI 43
2022,Preseason Week 2,THU,08/18,Bears,Seahawks,1ST QUARTER,1,CHI,1,4,0,7 Yard Run,"(14:09) K.Herbert up the middle to 50 for 7 yards (M.Blair, C.Barton).",2nd & 10 at CHI 43
2022,Preseason Week 2,THU,08/18,Bears,Seahawks,1ST QUARTER,1,CHI,1,5,0,1 Yard Run,(13:29) (Shotgun) J.Fields scrambles up the middle to SEA 49 for 1 yard (D.Taylor).,3rd & 3 at 50
2022,Preseason Week 2,THU,08/18,Bears,Seahawks,1ST QUARTER,1,CHI,1,6,0,5 Yard Penalty,"(12:37) (Shotgun) PENALTY on SEA-D.Taylor, Neutral Zone Infraction, 5 yards, enforced at SEA 49 - No Play.",4th & 2 at SEA 49
2022,Preseason Week 2,THU,08/18,Bears,Seahawks,1ST QUARTER,1,CHI,1,7,0,4 Yard Pass,(12:31) J.Fields pass short right to K.Herbert to SEA 40 for 4 yards (B.Mafe) [T.Woolen].,1st & 10 at SEA 44
2022,Preseason Week 2,THU,08/18,Bears,Seahawks,1ST QUARTER,1,CHI,1,8,0,19 Yard Pass,(11:54) J.Fields pass short left to C.Kmet to SEA 21 for 19 yards (J.Dublanko).,2nd & 6 at SEA 40
2022,Preseason Week 2,THU,08/18,Bears,Seahawks,1ST QUARTER,1,CHI,1,9,0,6 Yard Pass,"(11:07) (Shotgun) J.Fields pass short right to D.Mooney to SEA 15 for 6 yards (M.Blair, B.Mone).",1st & 10 at SEA 21
2022,Preseason Week 2,THU,08/18,Bears,Seahawks,1ST QUARTER,1,CHI,1,10,0,Pass Incomplete,"(10:28) J.Fields pass incomplete short left to D.Mooney.
Penalty on CHI-L.Borom, Ineligible Downfield Pass, declined.",2nd & 4 at SEA 15
2022,Preseason Week 2,THU,08/18,Bears,Seahawks,1ST QUARTER,1,CHI,1,11,0,-2 Yard Pass,(10:19) (Shotgun) J.Fields pass short right to K.Herbert to SEA 17 for -2 yards (J.Jones).,3rd & 4 at SEA 15
2022,Preseason Week 2,THU,08/18,Bears,Seahawks,1ST QUARTER,1,CHI,1,12,1,Field Goal,"(9:38) C.Santos 35 yard field goal is GOOD, Center-P.Scales, Holder-T.Gill.",4th & 6 at SEA 17
2022,Preseason Week 2,THU,08/18,Bears,Seahawks,1ST QUARTER,2,SEA,0,1,0,Kickoff,"C.Santos kicks 65 yards from CHI 35 to end zone, Touchback.",Kickoff from CHI 35
2022,Preseason Week 2,THU,08/18,Bears,Seahawks,1ST QUARTER,2,SEA,0,2,0,-5 Yard Penalty,"(9:34) PENALTY on SEA-C.Cross, False Start, 5 yards, enforced at SEA 25 - No Play.",1st & 10 at SEA 25
2022,Preseason Week 2,THU,08/18,Bears,Seahawks,1ST QUARTER,2,SEA,0,3,0,6 Yard Run,"(9:34) T.Homer right guard to SEA 26 for 6 yards (N.Morrow, J.Thomas).",1st & 15 at SEA 20
2022,Preseason Week 2,THU,08/18,Bears,Seahawks,1ST QUARTER,2,SEA,0,4,0,4 Yard Pass,"(9:05) (Shotgun) G.Smith pass short left to T.Homer to SEA 30 for 4 yards (M.Adams, E.Jackson). CHI-M.Adams was injured during the play. His return is Questionable.",2nd & 9 at SEA 26
2022,Preseason Week 2,THU,08/18,Bears,Seahawks,1ST QUARTER,2,SEA,0,5,0,Pass Incomplete,(8:31) (Shotgun) G.Smith pass incomplete deep middle to F.Swain.,3rd & 5 at SEA 30
2022,Preseason Week 2,THU,08/18,Bears,Seahawks,1ST QUARTER,2,SEA,0,6,0,Punt,"(8:25) M.Dickson punts 49 yards to CHI 21, Center-T.Ott, out of bounds.",4th & 5 at SEA 30
2022,Preseason Week 2,THU,08/18,Bears,Seahawks,1ST QUARTER,3,CHI,0,1,0,2 Yard Run,"(8:15) 15-T.Siemian in at QB. T.Ebner right end to CHI 23 for 2 yards (M.Jackson, J.Dublanko).",1st & 10 at CHI 21
2022,Preseason Week 2,THU,08/18,Bears,Seahawks,1ST QUARTER,3,CHI,0,2,0,2 Yard Run,(7:48) (Shotgun) T.Ebner right guard to CHI 25 for 2 yards (U.Nwosu).,2nd & 8 at CHI 23
2022,Preseason Week 2,THU,08/18,Bears,Seahawks,1ST QUARTER,3,CHI,0,3,0,8 Yard Run,(7:09) (Shotgun) T.Ebner up the middle to CHI 33 for 8 yards (J.Coleman).,3rd & 6 at CHI 25
2022,Preseason Week 2,THU,08/18,Bears,Seahawks,1ST QUARTER,3,CHI,0,4,0,-2 Yard Run,(6:34) T.Ebner left end to CHI 31 for -2 yards (U.Nwosu). CHI-D.Eiselen was injured during the play.,1st & 10 at CHI 33
2022,Preseason Week 2,THU,08/18,Bears,Seahawks,1ST QUARTER,3,CHI,0,5,0,16 Yard Pass,(6:07) (Shotgun) T.Siemian pass short middle to J.O'Shaughnessy to CHI 47 for 16 yards (J.Jones).,2nd & 12 at CHI 31
2022,Preseason Week 2,THU,08/18,Bears,Seahawks,1ST QUARTER,3,CHI,0,6,0,Pass Incomplete,(5:31) (Shotgun) T.Siemian pass incomplete short left to V.Jones.,1st & 10 at CHI 47
2022,Preseason Week 2,THU,08/18,Bears,Seahawks,1ST QUARTER,3,CHI,0,7,0,Run for No Gain,(5:27) T.Ebner left end to CHI 47 for no gain (D.Taylor).,2nd & 10 at CHI 47
2022,Preseason Week 2,THU,08/18,Bears,Seahawks,1ST QUARTER,3,CHI,0,8,0,1 Yard Pass,"(4:50) (Shotgun) T.Siemian pass short left to D.Evans to CHI 48 for 1 yard (C.Barton).
Penalty on CHI-S.Coleman, Offensive Holding, declined.",3rd & 10 at CHI 47
2022,Preseason Week 2,THU,08/18,Bears,Seahawks,1ST QUARTER,3,CHI,0,9,0,Punt,"(4:37) T.Gill punts 42 yards to SEA 10, Center-P.Scales. F.Swain ran ob at SEA 14 for 4 yards (J.Sanborn).",4th & 9 at CHI 48
2022,Preseason Week 2,THU,08/18,Bears,Seahawks,1ST QUARTER,4,SEA,0,1,0,Pass Incomplete,(4:27) G.Smith pass incomplete short right [N.Morrow].,1st & 10 at SEA 14
2022,Preseason Week 2,THU,08/18,Bears,Seahawks,1ST QUARTER,4,SEA,0,2,0,7 Yard Run,"(4:21) (Shotgun) T.Homer left guard to SEA 21 for 7 yards (N.Morrow, J.Johnson).",2nd & 10 at SEA 14
2022,Preseason Week 2,THU,08/18,Bears,Seahawks,1ST QUARTER,4,SEA,0,3,0,Pass Incomplete,(3:46) (Shotgun) G.Smith pass incomplete short right to F.Swain (A.Blackson).,3rd & 3 at SEA 21
2022,Preseason Week 2,THU,08/18,Bears,Seahawks,1ST QUARTER,4,SEA,0,4,0,Punt,"(3:42) M.Dickson punts 60 yards to CHI 19, Center-T.Ott. V.Jones pushed ob at SEA 33 for 48 yards (T.Ott).",4th & 3 at SEA 21
2022,Preseason Week 2,THU,08/18,Bears,Seahawks,2ND QUARTER,1,CHI,1,1,0,2 Yard Run,(3:27) (Shotgun) D.Evans right end to SEA 31 for 2 yards (J.Dublanko).,1st & 10 at SEA 33
2022,Preseason Week 2,THU,08/18,Bears,Seahawks,2ND QUARTER,1,CHI,1,2,0,11 Yard Run,(2:53) D.Evans up the middle to SEA 20 for 11 yards (M.Blair; T.Woolen).,2nd & 8 at SEA 31
2022,Preseason Week 2,THU,08/18,Bears,Seahawks,2ND QUARTER,1,CHI,1,3,0,6 Yard Run,"(2:16) D.Evans right guard to SEA 14 for 6 yards (Q.Jefferson, J.Jones).",1st & 10 at SEA 20
2022,Preseason Week 2,THU,08/18,Bears,Seahawks,2ND QUARTER,1,CHI,1,4,0,5 Yard Pass,(1:32) (Shotgun) T.Siemian pass short right to I.Coulter to SEA 9 for 5 yards (C.Barton).,2nd & 4 at SEA 14
2022,Preseason Week 2,THU,08/18,Bears,Seahawks,2ND QUARTER,1,CHI,1,5,0,7 Yard Pass,(:49) (Shotgun) T.Siemian pass short left to N.Webster to SEA 2 for 7 yards (T.Woolen).,1st & 9 at SEA 9
2022,Preseason Week 2,THU,08/18,Bears,Seahawks,2ND QUARTER,1,CHI,1,6,0,Touchdown Bears,"(15:00) T.Siemian pass short right to J.Tonges for 2 yards, TOUCHDOWN.",2nd & 2 at SEA 2
2022,Preseason Week 2,THU,08/18,Bears,Seahawks,2ND QUARTER,1,CHI,1,7,1,Extra Point Good,"C.Santos extra point is GOOD, Center-P.Scales, Holder-T.Gill.",XP attempt from SEA 15
2022,Preseason Week 2,THU,08/18,Bears,Seahawks,2ND QUARTER,2,SEA,0,1,0,Kickoff,"T.Gill kicks 65 yards from CHI 35 to end zone, Touchback.",Kickoff from CHI 35
