Season,Week,Day,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayDescription,PlayStart
2022,Week 15,THU,12/15,49ers,Seahawks,1ST QUARTER,1,SEA,0,1,0,Kickoff,R.Gould kicks 61 yards from SF 35 to SEA 4. G.Igwebuike to SEA 35 for 31 yards (J.Jenkins).,Kickoff from SF 35
2022,Week 15,THU,12/15,49ers,Seahawks,1ST QUARTER,1,SEA,0,2,0,5 Yard Run,(14:54) (Shotgun) K.Walker up the middle to SEA 40 for 5 yards (D.Lenoir; F.Warner).,1st & 10 at SEA 35
2022,Week 15,THU,12/15,49ers,Seahawks,1ST QUARTER,1,SEA,0,3,0,5 Yard Pass,(14:25) (Shotgun) G.Smith pass short left to T.Lockett to SEA 45 for 5 yards (D.Lenoir).,2nd & 5 at SEA 40
2022,Week 15,THU,12/15,49ers,Seahawks,1ST QUARTER,1,SEA,0,4,0,-3 Yard Pass,(13:54) G.Smith pass short left to K.Walker to SEA 42 for -3 yards (A.Al-Shaair).,1st & 10 at SEA 45
2022,Week 15,THU,12/15,49ers,Seahawks,1ST QUARTER,1,SEA,0,5,0,Pass Incomplete,(13:12) (Shotgun) G.Smith pass incomplete short middle to N.Fant (D.Greenlaw).,2nd & 13 at SEA 42
2022,Week 15,THU,12/15,49ers,Seahawks,1ST QUARTER,1,SEA,0,6,0,Pass Incomplete,(13:06) (Shotgun) G.Smith pass incomplete short left to T.Lockett.,3rd & 13 at SEA 42
2022,Week 15,THU,12/15,49ers,Seahawks,1ST QUARTER,1,SEA,0,7,0,Punt,"(13:01) M.Dickson punts 48 yards to SF 10, Center-C.Tinker, fair catch by R.McCloud.",4th & 13 at SEA 42
2022,Week 15,THU,12/15,49ers,Seahawks,1ST QUARTER,2,SF,0,1,0,3 Yard Run,(12:54) C.McCaffrey left end ran ob at SF 13 for 3 yards (C.Barton).,1st & 10 at SF 10
2022,Week 15,THU,12/15,49ers,Seahawks,1ST QUARTER,2,SF,0,2,0,2 Yard Pass,(12:23) B.Purdy pass short right to G.Kittle to SF 15 for 2 yards (J.Brooks).,2nd & 7 at SF 13
2022,Week 15,THU,12/15,49ers,Seahawks,1ST QUARTER,2,SF,0,3,0,4 Yard Pass,(11:40) (Shotgun) B.Purdy pass short right to C.McCaffrey pushed ob at SF 19 for 4 yards (R.Neal).,3rd & 5 at SF 15
2022,Week 15,THU,12/15,49ers,Seahawks,1ST QUARTER,2,SF,0,4,0,Punt,"(11:05) M.Wishnowsky punts 46 yards to SEA 35, Center-T.Pepper, fair catch by T.Lockett.",4th & 1 at SF 19
2022,Week 15,THU,12/15,49ers,Seahawks,1ST QUARTER,3,SEA,0,1,0,Pass Incomplete,(10:57) G.Smith pass incomplete short left.,1st & 10 at SEA 35
2022,Week 15,THU,12/15,49ers,Seahawks,1ST QUARTER,3,SEA,0,2,0,-2 Yard Run,(10:52) (Shotgun) K.Walker left end to SEA 33 for -2 yards (J.Ward).,2nd & 10 at SEA 35
2022,Week 15,THU,12/15,49ers,Seahawks,1ST QUARTER,3,SEA,0,3,0,5 Yard Pass,(10:03) (Shotgun) G.Smith pass short right to N.Fant to SEA 38 for 5 yards (F.Warner).,3rd & 12 at SEA 33
2022,Week 15,THU,12/15,49ers,Seahawks,1ST QUARTER,3,SEA,0,4,0,Punt,"(9:21) M.Dickson punts 48 yards to SF 14, Center-C.Tinker, fair catch by R.McCloud.",4th & 7 at SEA 38
