Season,Week,Day,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayDescription,PlayStart
2022,Super Bowl,SUN,02/12,Chiefs,Eagles,1ST QUARTER,1,PHI,1,1,0,Kickoff,"H.Butker kicks 65 yards from KC 35 to end zone, Touchback.",Kickoff from KC 35
2022,Super Bowl,SUN,02/12,Chiefs,Eagles,1ST QUARTER,1,PHI,1,2,0,-1 Yard Run,"(15:00) (Shotgun) M.Sanders up the middle to PHI 26 for 1 yard (T.McDuffie). FUMBLES (T.McDuffie), ball out of bounds at PHI 24.",1st & 10 at PHI 25
2022,Super Bowl,SUN,02/12,Chiefs,Eagles,1ST QUARTER,1,PHI,1,3,0,6 Yard Pass,"(14:26) (Shotgun) J.Hurts pass short left to D.Smith to PHI 30 for 6 yards (T.McDuffie, L.Sneed).",2nd & 11 at PHI 24
2022,Super Bowl,SUN,02/12,Chiefs,Eagles,1ST QUARTER,1,PHI,1,4,0,12 Yard Pass,(13:44) (Shotgun) J.Hurts pass short left to D.Smith pushed ob at PHI 42 for 12 yards (J.Reid).,3rd & 5 at PHI 30
2022,Super Bowl,SUN,02/12,Chiefs,Eagles,1ST QUARTER,1,PHI,1,5,0,Pass Incomplete,"(13:16) (No Huddle, Shotgun) J.Hurts pass incomplete deep left to A.Brown.",1st & 10 at PHI 42
2022,Super Bowl,SUN,02/12,Chiefs,Eagles,1ST QUARTER,1,PHI,1,6,0,11 Yard Run,(13:10) (Shotgun) J.Hurts scrambles left end ran ob at KC 47 for 11 yards (J.Reid; L.Sneed).,2nd & 10 at PHI 42
2022,Super Bowl,SUN,02/12,Chiefs,Eagles,1ST QUARTER,1,PHI,1,7,0,13 Yard Pass,(12:31) (Shotgun) J.Hurts pass short right to D.Goedert to KC 34 for 13 yards (J.Reid).,1st & 10 at KC 47
2022,Super Bowl,SUN,02/12,Chiefs,Eagles,1ST QUARTER,1,PHI,1,8,0,23 Yard Pass,"(12:02) (No Huddle, Shotgun) J.Hurts pass short right to D.Smith to KC 11 for 23 yards (W.Gay).",1st & 10 at KC 34
2022,Super Bowl,SUN,02/12,Chiefs,Eagles,1ST QUARTER,1,PHI,1,9,0,9 Yard Run,"(11:28) (No Huddle, Shotgun) B.Scott up the middle to KC 2 for 9 yards (J.Thornhill; T.McDuffie).",1st & 10 at KC 11
2022,Super Bowl,SUN,02/12,Chiefs,Eagles,1ST QUARTER,1,PHI,1,10,0,-2 Yard Run,"(11:01) (No Huddle, Shotgun) B.Scott up the middle to KC 4 for -2 yards (J.Thornhill).",2nd & 1 at KC 2
2022,Super Bowl,SUN,02/12,Chiefs,Eagles,1ST QUARTER,1,PHI,1,11,0,3 Yard Run,"(10:22) (Shotgun) K.Gainwell up the middle for 4 yards, TOUCHDOWN.
The Replay Official reviewed the runner broke the plane ruling, and the play was REVERSED.
(Shotgun) K.Gainwell up the middle to KC 1 for 3 yards (Ja.Watson).",3rd & 3 at KC 4
