Season,Week,Day,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayDescription,PlayStart
2018,Week 13,THU,11/29,Saints,Cowboys,1ST QUARTER,1,DAL,1,1,0,Kickoff,"W.Lutz kicks 65 yards from NO 35 to end zone, Touchback.",Kickoff from NO 35
2018,Week 13,THU,11/29,Saints,Cowboys,1ST QUARTER,1,DAL,1,2,0,4 Yard Run,(15:00) E.Elliott up the middle to DAL 29 for 4 yards (A.Okafor).,1st & 10 at DAL 25
2018,Week 13,THU,11/29,Saints,Cowboys,1ST QUARTER,1,DAL,1,3,0,5 Yard Pass,(14:27) D.Prescott pass short left to A.Cooper to DAL 34 for 5 yards (M.Lattimore).,2nd & 6 at DAL 29
2018,Week 13,THU,11/29,Saints,Cowboys,1ST QUARTER,1,DAL,1,4,0,3 Yard Run,(13:52) E.Elliott left guard to DAL 37 for 3 yards (E.Apple; M.Williams).,3rd & 1 at DAL 34
2018,Week 13,THU,11/29,Saints,Cowboys,1ST QUARTER,1,DAL,1,5,0,Pass Incomplete,(13:09) (Shotgun) D.Prescott pass incomplete short right to C.Beasley. Pass incomplete on a curl' route at the Dallas 45.,1st & 10 at DAL 37
2018,Week 13,THU,11/29,Saints,Cowboys,1ST QUARTER,1,DAL,1,6,0,2 Yard Run,(13:05) E.Elliott right guard to DAL 39 for 2 yards (A.Anzalone).,2nd & 10 at DAL 37
2018,Week 13,THU,11/29,Saints,Cowboys,1ST QUARTER,1,DAL,1,7,0,13 Yard Pass,"(12:25) (Shotgun) D.Prescott pass short right to M.Gallup to NO 48 for 13 yards (E.Apple) [P.Williams].
Penalty on NO-E.Apple, Defensive Pass Interference, declined.",3rd & 8 at DAL 39
2018,Week 13,THU,11/29,Saints,Cowboys,1ST QUARTER,1,DAL,1,8,0,2 Yard Run,(11:57) E.Elliott up the middle to NO 46 for 2 yards (V.Bell; A.Klein).,1st & 10 at NO 48
2018,Week 13,THU,11/29,Saints,Cowboys,1ST QUARTER,1,DAL,1,9,0,40 Yard Pass,(11:25) (Shotgun) D.Prescott pass deep left to M.Gallup to NO 6 for 40 yards (E.Apple).,2nd & 8 at NO 46
2018,Week 13,THU,11/29,Saints,Cowboys,1ST QUARTER,1,DAL,1,10,0,1 Yard Run,(10:38) (No Huddle) E.Elliott left end to NO 5 for 1 yard (D.Davis; V.Bell).,1st & 6 at NO 6
2018,Week 13,THU,11/29,Saints,Cowboys,1ST QUARTER,1,DAL,1,11,0,Pass Incomplete,"(10:15) (No Huddle, Shotgun) D.Prescott pass incomplete short left to D.Schultz.",2nd & 5 at NO 5
2018,Week 13,THU,11/29,Saints,Cowboys,1ST QUARTER,1,DAL,1,12,0,-3 Yard Sack,(10:09) (Shotgun) D.Prescott sacked at NO 8 for -3 yards (D.Onyemata).,3rd & 5 at NO 5
2018,Week 13,THU,11/29,Saints,Cowboys,1ST QUARTER,1,DAL,1,13,1,Field Goal,"(9:27) (Field Goal formation) B.Maher 26 yard field goal is GOOD, Center-L.Ladouceur, Holder-C.Jones.",4th & 8 at NO 8
2018,Week 13,THU,11/29,Saints,Cowboys,1ST QUARTER,2,NO,0,1,0,Kickoff,B.Maher kicks 70 yards from DAL 35 to NO -5. T.Hill to NO 22 for 27 yards (N.Brown).,Kickoff from DAL 35
