Season,Week,Day,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayDescription,PlayStart
2021,Week 7,THU,10/21,Broncos,Browns,1ST QUARTER,1,CLE,1,1,0,Kickoff,"B.McManus kicks 65 yards from DEN 35 to end zone, Touchback.",Kickoff from DEN 35
2021,Week 7,THU,10/21,Broncos,Browns,1ST QUARTER,1,CLE,1,2,0,7 Yard Pass,(15:00) C.Keenum pass short left to J.Landry pushed ob at CLE 32 for 7 yards (K.Jackson).,1st & 10 at CLE 25
2021,Week 7,THU,10/21,Broncos,Browns,1ST QUARTER,1,CLE,1,3,0,34 Yard Pass,(14:31) (Shotgun) C.Keenum pass short middle to A.Hooper pushed ob at DEN 34 for 34 yards (M.Kiser).,2nd & 3 at CLE 32
2021,Week 7,THU,10/21,Broncos,Browns,1ST QUARTER,1,CLE,1,4,0,20 Yard Run,(13:55) D.Johnson left tackle to DEN 14 for 20 yards (R.Darby).,1st & 10 at DEN 34
2021,Week 7,THU,10/21,Broncos,Browns,1ST QUARTER,1,CLE,1,5,0,10 Yard Run,(13:16) D.Johnson left tackle to DEN 4 for 10 yards (K.Jackson).,1st & 10 at DEN 14
2021,Week 7,THU,10/21,Broncos,Browns,1ST QUARTER,1,CLE,1,6,0,Touchdown Browns,"(12:29) D.Johnson left tackle for 4 yards, TOUCHDOWN.",1st & 4 at DEN 4
2021,Week 7,THU,10/21,Broncos,Browns,1ST QUARTER,1,CLE,1,7,1,Extra Point Good,"C.McLaughlin extra point is GOOD, Center-C.Hughlett, Holder-J.Gillan.",XP attempt from DEN 15
2021,Week 7,THU,10/21,Broncos,Browns,1ST QUARTER,2,DEN,0,1,0,Kickoff,"C.McLaughlin kicks 65 yards from CLE 35 to end zone, Touchback.",Kickoff from CLE 35
2021,Week 7,THU,10/21,Broncos,Browns,1ST QUARTER,2,DEN,0,2,0,2 Yard Run,(12:20) M.Gordon right guard to DEN 27 for 2 yards (Ma.Wilson).,1st & 10 at DEN 25
2021,Week 7,THU,10/21,Broncos,Browns,1ST QUARTER,2,DEN,0,3,0,1 Yard Run,(11:45) (Shotgun) M.Gordon left guard to DEN 28 for 1 yard (J.Johnson).,2nd & 8 at DEN 27
